"lat","lon","year","mean"
35,5,1987,17.96
35,5,1988,17.93
35,5,1989,17.77
35,5,1990,18.2
35,5,1991,16.84
35,5,1992,16.82
35,5,1993,16.97
35,5,1994,17.96
35,5,1995,17.53
35,5,1996,16.73
35,5,1997,17.74
35,5,1998,16.99
35,5,1999,17.75
35,5,2000,17.81
35,5,2001,18.14
35,5,2002,18.04
35,5,2003,18.37
35,5,2004,17.52
35,5,2005,17.31
35,5,2006,18.1
35,5,2007,17.11
35,6,1983,17.62
35,6,1984,16.39
35,6,1985,17.31
35,6,1986,16.82
35,6,1987,17.85
35,6,1988,17.9
35,6,1989,17.55
35,6,1990,18.08
35,6,1991,16.73
35,6,1992,16.72
35,6,1993,16.94
35,6,1994,17.89
35,6,1995,17.37
35,6,1996,16.6
35,6,1997,17.6
35,6,1998,16.79
35,6,1999,17.66
35,6,2000,17.6
35,6,2001,18.07
35,6,2002,17.81
35,6,2003,18.16
35,6,2004,17.28
35,6,2005,17.12
35,6,2006,17.93
35,6,2007,17.04
35,7,1983,17.54
35,7,1984,16.36
35,7,1985,17.27
35,7,1986,16.62
35,7,1987,17.71
35,7,1988,17.8
35,7,1989,17.35
35,7,1990,17.86
35,7,1991,16.57
35,7,1992,16.59
35,7,1993,16.85
35,7,1994,17.77
35,7,1995,17.15
35,7,1996,16.46
35,7,1997,17.42
35,7,1998,16.62
35,7,1999,17.52
35,7,2000,17.46
35,7,2001,17.96
35,7,2002,17.56
35,7,2003,17.84
35,7,2004,17.06
35,7,2005,16.81
35,7,2006,17.7
35,7,2007,16.95
35,8,1983,18.84
35,8,1984,17.64
35,8,1985,18.31
35,8,1986,17.64
35,8,1987,18.76
35,8,1988,18.87
35,8,1989,18.33
35,8,1990,18.85
35,8,1991,17.67
35,8,1992,17.71
35,8,1993,17.96
35,8,1994,18.93
35,8,1995,18.06
35,8,1996,17.6
35,8,1997,18.47
35,8,1998,17.81
35,8,1999,18.58
35,8,2000,18.44
35,8,2001,19.09
35,8,2002,18.55
35,8,2003,18.7
35,8,2004,18.23
35,8,2005,17.92
35,8,2006,18.86
35,8,2007,18.19
35,9,1983,20.38
35,9,1984,19.19
35,9,1985,19.65
35,9,1986,18.93
35,9,1987,20.1
35,9,1988,20.12
35,9,1989,19.58
35,9,1990,20.07
35,9,1991,19.03
35,9,1992,19.06
35,9,1993,19.33
35,9,1994,20.31
35,9,1995,19.25
35,9,1996,19.09
35,9,1997,19.66
35,9,1998,19.29
35,9,1999,19.86
35,9,2000,19.57
35,9,2001,20.31
35,9,2002,19.82
35,9,2003,19.71
35,9,2004,19.56
35,9,2005,19.28
35,9,2006,20.28
35,9,2007,19.74
35,10,1983,20.87
35,10,1984,19.88
35,10,1985,20.14
35,10,1986,19.57
35,10,1987,20.44
35,10,1988,20.48
35,10,1989,20.05
35,10,1990,20.56
35,10,1991,19.67
35,10,1992,19.75
35,10,1993,19.93
35,10,1994,20.81
35,10,1995,19.81
35,10,1996,19.78
35,10,1997,20.17
35,10,1998,19.88
35,10,1999,20.31
35,10,2000,20.05
